InputID,TargetID
I128p,I127p
I128p,I130p
I128p,I131p
I128p,I133p
I128p,I134p
I128p,I156p
I128p,I157p
I129p,I106p
I129p,I125p
I129p,I126p
I129p,I127p
I129p,I130p
I129p,I131p
I129p,I152a
I129p,I154p
I129p,I155p
I129p,I156p
I130p,I109p
I130p,I127p
I130p,I128p
I130p,I129p
I130p,I131p
I130p,I133p
I130p,I155p
I130p,I156p
I130p,I157p
I130p,I158p
I131p,I109p
I131p,I110p
I131p,I127p
I131p,I128p
I131p,I129p
I131p,I130p
I131p,I133p
I131p,I134p
I131p,I156p
I131p,I157p
I133p,I109p
I133p,I110p
I133p,I128p
I133p,I130p
I133p,I131p
I133p,I134p
I133p,I135p
I133p,I157p
I133p,I159p
I133p,I160p
I134p,I110p
I134p,I128p
I134p,I131p
I134p,I133p
I134p,I135p
I134p,I136p
I134p,I137p
I134p,I157p
I134p,I160p
I134p,I161p
I135p,I133p
I135p,I134p
I135p,I136p
I135p,I137p
I135p,I159p
I135p,I160p
I135p,I161p
I135p,I162p
I135p,I163p
I135p,I164p
I136p,I112p
I136p,I134p
I136p,I135p
I136p,I137p
I136p,I160p
I136p,I161p
I136p,I162p
I136p,I164p
I136p,I165p
I136p,I166p
I137p,I112p
I137p,I134p
I137p,I135p
I137p,I136p
I137p,I140p
I137p,I160p
I137p,I161p
I137p,I162p
I137p,I165p
I137p,I166p
I138p,I112p
I138p,I115p
I138p,I116c
I138p,I137p
I138p,I140a
I138p,I140p
I138p,I143p
I138p,I162p
I138p,I166p
I138p,I168p
I140a,I115p
I140a,I116c
I140a,I138p
I140a,I140p
I140a,I141p
I140a,I142p
I140a,I143p
I140a,I144p
I140a,I168p
I140a,I171p
I140p,I112p
I140p,I137p
I140p,I138p
I140p,I140a
I140p,I162p
I140p,I165p
I140p,I166p
I140p,I168p
I140p,I169p
I140p,I170p
I141p,I116c
I141p,I140a
I141p,I142p
I141p,I143p
I141p,I144a
I141p,I144p
I141p,I145p
I141p,I146p
I141p,I150p
I141p,I173p
I142p,I116c
I142p,I140a
I142p,I141p
I142p,I143p
I142p,I144p
I142p,I145p
I142p,I146p
I142p,I171p
I142p,I173p
I142p,I174p
I143p,I140a
I143p,I141p
I143p,I142p
I143p,I144p
I143p,I145p
I143p,I146p
I143p,I168p
I143p,I171p
I143p,I173p
I143p,I174p
I144a,I141p
I144a,I142p
I144a,I144p
I144a,I145p
I144a,I146p
I144a,I147a
I144a,I148p
I144a,I150p
I144a,I173p
I144a,I177p
I144p,I141p
I144p,I142p
I144p,I143p
I144p,I144a
I144p,I145p
I144p,I146p
I144p,I150p
I144p,I171p
I144p,I173p
I144p,I174p
I145p,I141p
I145p,I142p
I145p,I143p
I145p,I144a
I145p,I144p
I145p,I146p
I145p,I150p
I145p,I171p
I145p,I173p
I145p,I174p
I146p,I141p
I146p,I142p
I146p,I144a
I146p,I144p
I146p,I145p
I146p,I147a
I146p,I150p
I146p,I173p
I146p,I174p
I146p,I177p
I147a,I120p
I147a,I141p
I147a,I144a
I147a,I144p
I147a,I146p
I147a,I148p
I147a,I149p
I147a,I150p
I147a,I151p
I147a,I177p
I148p,I120p
I148p,I144a
I148p,I147a
I148p,I149p
I148p,I150p
I148p,I151p
I148p,I177p
I148p,I180p
I148p,K203p
I148p,K223p
